HR_ID	Bayer_Name	Constellation	RA	DEC	X	Y	Magnitude	Distance_LY	Spectrum	Chinese_Name
179	ξ/Cas	仙后	10.520000	50.500000	1818	2708	4.8	572	B2V	
180	μ/Phe	凤凰	10.330000	-46.100000	1703	2096	4.6	250	G8III	
184	π/Cas	仙后	10.870000	47.000000	1819	2685	4.9	181	A5V	
188	β/Cet	鲸鱼	10.900000	-18.000000	1740	2273	2.0	95	"K0IIICH-1HK-0.5"	土司空
191	η/Phe	凤凰	10.840000	-57.500000	1692	2023	4.4	250	A0IV	
193	ο/Cas	仙后	11.180000	48.300000	1825	2692	4.5	476	B5IIIe	
194	φ1/Cet	鲸鱼	11.050000	-10.600000	1751	2320	4.8	217	K0IIIv	
215	ζ/And	仙女	11.830000	24.300000	1804	2538	4.1	191	K1IIe	
219	η/Cas	仙后	12.270000	57.800000	1855	2748	3.4	19	G0V+dM0	王良三
223	ν/Cas	仙后	12.210000	51.000000	1845	2706	4.9	407	B9III	
224	δ/Psc	双鱼	12.170000	7.600000	1785	2432	4.4	326	K5III	
226	ν/And	仙女	12.450000	41.100000	1835	2642	4.5	390	B5V+F8V	
253	υ1/Cas	仙后	13.750000	59.000000	1881	2750	4.8	407	K2III	
264	γ/Cas	仙后	14.180000	60.700000	1890	2759	2.5	624	B0IVe	
265	υ2/Cas	仙后	14.170000	59.200000	1888	2750	4.6	217	G8.5IIIbCN-1	
269	μ/And	仙女	14.190000	38.500000	1856	2620	3.9	141	A5V	
271	η/And	仙女	14.300000	23.400000	1833	2526	4.4	250	G8IIIb	
280	α/Scl	玉夫	14.650000	-29.400000	1751	2195	4.3	556	B7IIIp	
294	ε/Psc	双鱼	15.740000	7.900000	1824	2425	4.3	191	K0III	
322	β/Phe	凤凰	16.520000	-46.700000	1732	2085	3.3	203	G8IIIv	
334	η/Cet	鲸鱼	17.150000	-10.200000	1804	2309	3.4	120	K1.5IIICN1	天仓二
335	φ/And	仙女	17.380000	47.200000	1917	2661	4.2	409	B7Ve	
337	β/And	仙女	17.430000	35.600000	1895	2590	2.0	203	M0IIIa	
338	ζ/Phe	凤凰	17.100000	-55.200000	1718	2032	3.9	296	B6V+B9V	
343	θ/Cas	仙后	17.780000	55.100000	1938	2708	4.3	141	A7V	
351	χ/Psc	双鱼	17.860000	21.000000	1872	2498	4.7	465	G8.5III-IIIa	
352	τ/Psc	双鱼	17.910000	30.100000	1891	2554	4.5	163	K0IIIb	
360	φ/Psc	双鱼	18.440000	24.600000	1886	2518	4.7	407	K0III	
370	ν/Phe	凤凰	18.800000	-45.500000	1745	2089	5.0	49	F8V	
377	κ/Tuc	杜鹃	18.940000	-68.900000	1697	1946	4.9	67	F6IV	
382	φ/Cas	仙后	20.020000	58.200000	1979	2715	5.0	7989	F0Ia	
383	υ/Psc	双鱼	19.870000	27.300000	1909	2528	4.8	326	A3V	
390	ξ/And	仙女	20.580000	45.500000	1959	2635	4.9	203	K0-IIIb	奎宿七
399	ψ/Cas	仙后	21.480000	68.100000	2026	2766	4.7	203	K0III	
402	θ/Cet	鲸鱼	21.010000	-8.200000	1842	2310	3.6	116	K0IIIb	
403	δ/Cas	仙后	21.450000	60.200000	2006	2718	2.7	101	A5III-IVv	阁道三
417	omg/And	仙女	21.910000	45.400000	1978	2627	4.8	93	F5IV	
424	α/UMi	小熊	37.960000	89.300000	2363	2729	2.0	465	F7:Ib-IIv	勾陈一
429	γ/Phe	凤凰	22.090000	-43.300000	1766	2096	3.4	250	M0-IIIa	
434	μ/Psc	双鱼	22.550000	6.100000	1890	2389	4.8	362	K4III	
437	η/Psc	双鱼	22.870000	15.300000	1916	2443	3.6	296	G7IIIa	
440	δ/Phe	凤凰	22.810000	-49.100000	1755	2060	4.0	148	K0III-IV	
442	χ/Cas	仙后	23.480000	59.200000	2036	2699	4.7	217	G9IIIb	
458	υ/And	仙女	24.200000	41.400000	2000	2590	4.1	44	F8V	
469	χ/And	仙女	24.840000	44.400000	2016	2604	5.0	250	G8III	
472	α/Eri	波江	24.430000	-57.200000	1740	2010	0.5	148	B3Vpe	水委一
477	τ/And	仙女	25.140000	40.600000	2010	2579	4.9	501	B8III	
489	ν/Psc	双鱼	25.360000	5.500000	1916	2374	4.4	407	K3-IIIbBa0.1	
496	φ/Per	英仙	25.910000	50.700000	2049	2633	4.1	440	B2Vep	
509	τ/Cet	鲸鱼	26.020000	-15.900000	1862	2247	3.5	11	G8V	
510	ο/Psc	双鱼	26.350000	9.200000	1936	2390	4.3	271	G8III	右更四
531	χ/Cet	鲸鱼	27.400000	-10.700000	1888	2271	4.7	77	F3III	
539	ζ/Cet	鲸鱼	27.860000	-10.300000	1893	2272	3.7	271	K0IIIBa0.1	天仓四
542	ε/Cas	仙后	28.600000	63.700000	2127	2687	3.4	465	B3III	
544	α/Tri	三角	28.270000	29.600000	2018	2496	3.4	65	F6IV	娄宿增六
545	γ1/Ari	白羊	28.380000	19.300000	1987	2437	4.8	217	B9V	
546	γ2/Ari	白羊	28.380000	19.300000	1987	2437	4.8	217	A1pSi	娄宿二
548	omg/Cas	仙后	29.000000	68.700000	2148	2712	5.0	512	B8III	
549	ξ/Psc	双鱼	28.390000	3.200000	1938	2346	4.6	191	K0III	
553	β/Ari	白羊	28.660000	20.800000	1995	2444	2.7	60	A5V	娄宿一
555	ψ/Phe	凤凰	28.410000	-46.300000	1786	2065	4.4	326	M4III	
566	χ/Eri	波江	28.990000	-51.600000	1772	2034	3.7	57	G8IIIbCNIV	
569	λ/Ari	白羊	29.480000	23.600000	2013	2455	4.8	135	F0V	
570	η2/Hyi	水蛇	28.730000	-67.600000	1722	1944	4.7	217	G8III-IV	
585	υ/Cet	鲸鱼	30.000000	-21.100000	1875	2202	4.0	326	M0.5IIIBa0.2	
591	α/Hyi	水蛇	29.690000	-61.600000	1743	1976	2.9	72	F0V	
596	α/Psc	双鱼	30.510000	2.800000	1956	2333	4.3	141	A0pSiSr	外屏七
603	γ1/And	仙女	30.970000	42.300000	2091	2549	2.3	362	K3-IIb	天大将军一
604	γ2/And	仙女	30.980000	42.300000	2091	2548	4.8	362	B8V+A0V	
612	ν/For	天炉	31.120000	-29.300000	1855	2152	4.7	362	B9.5pSi	
617	α/Ari	白羊	31.790000	23.500000	2038	2439	2.0	66	K2IIIabCa-I	娄宿三
622	β/Tri	三角	32.390000	35.000000	2084	2498	3.0	125	A5III	
649	ξ1/Cet	鲸鱼	33.250000	8.800000	2002	2350	4.3	362	G6II-IIICN-2	
660	δ/Tri	三角	34.260000	34.200000	2103	2479	4.9	35	G0V	
664	γ/Tri	三角	34.330000	33.800000	2102	2476	4.0	120	A1Vnn	
674	φ/Eri	波江	34.130000	-51.500000	1792	2023	3.6	155	B8V-IV	
681	ο/Cet	鲸鱼	34.840000	-3.000000	1973	2278	3.0	465	M7IIIe	刍贽增二
705	δ/Hyi	水蛇	35.440000	-68.700000	1732	1929	4.1	135	A3V	
707	ι/Cas	仙后	37.270000	67.400000	2267	2625	4.5	141	A5pSr	
708	ro/Cet	鲸鱼	36.490000	-12.300000	1950	2220	4.9	543	B9.5Vn	
718	ξ2/Cet	鲸鱼	37.040000	8.500000	2035	2324	4.3	181	B9III	
721	κ/Eri	波江	36.750000	-47.700000	1816	2036	4.2	543	B5IV	
740	σ/Cet	鲸鱼	38.020000	-15.200000	1949	2197	4.8	85	F4IV	
749	omg/For	天炉	38.460000	-28.200000	1900	2129	4.9	465	B9.5V	
754	ν/Cet	鲸鱼	38.970000	5.600000	2040	2296	4.9	407	G8III	
779	δ/Cet	鲸鱼	39.870000	0.300000	2026	2264	4.1	815	B2IV	
781	ε/Cet	鲸鱼	39.890000	-11.900000	1975	2204	4.8	90	F5V+F6V	
794	ι/Eri	波江	40.170000	-39.900000	1861	2064	4.1	148	K0III	
799	θ/Per	英仙	41.050000	49.200000	2242	2494	4.1	36	F8V	
804	γ/Cet	鲸鱼	40.820000	3.200000	2045	2272	3.5	83	A3V	天囷八
806	ε/Hyi	水蛇	39.900000	-68.300000	1742	1925	4.1	155	B9V	
811	π/Cet	鲸鱼	41.030000	-13.900000	1974	2187	4.2	465	B7V	
813	μ/Cet	鲸鱼	41.240000	10.100000	2078	2303	4.3	85	F0IV	
818	τ1/Eri	波江	41.280000	-18.600000	1956	2163	4.5	45	F6V	
834	η/Per	英仙	42.670000	55.900000	2290	2509	3.8	588	M3-Ib-IIa	天船一
837	ζ/Hyi	水蛇	41.390000	-67.600000	1748	1926	4.8	296	A2IV-V	
841	β/For	天炉	42.270000	-32.400000	1902	2092	4.5	171	G8IIIb	
850	τ2/Eri	波江	42.760000	-21.000000	1954	2144	4.8	191	K0III	天苑九
854	τ/Per	英仙	43.560000	52.800000	2287	2484	4.0	250	G4III+A4V	
872	ν/Hyi	水蛇	42.620000	-75.100000	1718	1888	4.8	362	K3III	
874	η/Eri	波江	44.110000	-8.900000	2016	2193	3.9	135	K1-IIIbBa0.2	天苑六
879	π/Per	英仙	44.690000	39.700000	2240	2412	4.7	326	A2Vn	积尸
887	ε/Ari	白羊	44.800000	21.300000	2158	2326	4.6	296	A2Vs	
888	ε/Ari	白羊	44.800000	21.300000	2158	2326	4.6	296	A2Vs	
896	λ/Cet	鲸鱼	44.930000	8.900000	2103	2269	4.7	465	B6III	天囷一
897	θ1/Eri	波江	44.560000	-40.300000	1877	2046	3.4	163	A4III	
898	θ2/Eri	波江	44.570000	-40.300000	1877	2046	4.4	163	A1V	
909	β/Hor	时钟	44.700000	-64.100000	1770	1936	5.0	326	A3-5IIIm:	
911	α/Cet	鲸鱼	45.570000	4.100000	2086	2242	2.5	232	M1.5IIIa	
915	γ/Per	英仙	46.200000	53.500000	2320	2458	2.9	271	G8III+A2V	
919	τ3/Eri	波江	45.600000	-23.600000	1958	2117	4.1	88	A4IV	
921	ro/Per	英仙	46.290000	38.800000	2252	2391	3.4	326	M4II	大陵六
936	β/Per	英仙	47.040000	41.000000	2270	2393	2.1	93	B8V	大陵五
937	ι/Per	英仙	47.270000	49.600000	2313	2428	4.1	34	G0V	
941	κ/Per	英仙	47.370000	44.900000	2292	2406	3.8	112	K0III	大陵四
947	omg/Per	英仙	47.820000	39.600000	2271	2378	4.6	326	K1III	大陵增十八
951	δ/Ari	白羊	47.910000	19.700000	2177	2291	4.4	171	K2IIIv	天阴四
963	α/For	天炉	48.020000	-29.000000	1945	2080	3.8	46	F8V	
972	ζ/Ari	白羊	48.720000	21.000000	2190	2289	4.9	362	A1V	
984	ζ/Eri	波江	48.960000	-8.800000	2047	2161	4.8	120	A5m	天苑五
996	κ1/Cet	鲸鱼	49.840000	3.400000	2113	2206	4.8	29	G5Vv	
1003	τ4/Eri	波江	49.880000	-21.800000	1989	2101	3.7	271	M3.5IIIaCa-1	
1017	α/Per	英仙	51.080000	49.900000	2354	2384	1.8	529	F5Ib	天船三
1030	ο/Tau	金牛	51.200000	9.000000	2150	2217	3.6	217	G6IIIFe-1	
1038	ξ/Tau	金牛	51.790000	9.700000	2157	2215	3.8	232	B9Vn	
1052	σ/Per	英仙	52.640000	48.000000	2359	2357	4.4	362	K3III	
1083	κ/Ret	网罟	52.340000	-62.900000	1791	1924	4.7	70	F5IV-V	
1084	ε/Eri	波江	53.230000	-9.500000	2068	2128	3.7	10	K2V	
1087	ψ/Per	英仙	54.120000	48.200000	2374	2339	4.2	300	B5Ve	
1088	τ5/Eri	波江	53.450000	-21.600000	2007	2080	4.3	296	B8V+B8V	
1122	δ/Per	英仙	55.730000	47.800000	2386	2318	3.0	543	B5III	
1131	ο/Per	英仙	56.080000	32.300000	2307	2257	3.8	779	B1III	卷舌增七
1134	δ/For	天炉	55.560000	-31.900000	1961	2029	5.0	564	B5IV	
1135	ν/Per	英仙	56.300000	42.600000	2363	2292	3.8	510	F5II	
1136	δ/Eri	波江	55.810000	-9.800000	2080	2108	3.5	29	K0+IV	天苑三
1148	γ/Cam	鹿豹	57.590000	71.300000	2530	2375	4.7	362	A2IVn	
1162	π/Eri	波江	56.530000	-12.100000	2071	2094	4.4	543	M2III	
1165	η/Tau	金牛	56.870000	24.100000	2268	2219	2.9	407	B7IIIe	昴宿六
1173	τ6/Eri	波江	56.710000	-23.200000	2012	2054	4.2	59	F3III	
1175	β/Ret	网罟	56.050000	-64.800000	1787	1908	3.8	101	K1-2III	
1203	ζ/Per	英仙	58.530000	31.900000	2323	2228	2.8	932	B1Ib	
1208	γ/Hyi	水蛇	56.810000	-74.200000	1738	1873	3.2	217	M2III	
1213	τ8/Eri	波江	58.430000	-24.600000	2012	2038	4.7	407	B6V	
1220	ε/Per	英仙	59.460000	40.000000	2374	2243	2.9	543	B0.5V+A2V	
1228	ξ/Per	英仙	59.740000	35.800000	2353	2226	4.0	2624	O7e	卷舌四
1231	γ/Eri	波江	59.510000	-13.500000	2077	2068	2.9	232	M0.5IIICa-ICr-I	天苑一
1239	λ/Tau	金牛	60.170000	12.500000	2226	2146	3.4	407	B3V+A4IV	
1240	τ9/Eri	波江	59.980000	-24.000000	2021	2030	4.7	362	B6V+B9.5V	
1247	δ/Ret	网罟	59.690000	-61.400000	1812	1911	4.6	543	M2IIIab	
1251	ν/Tau	金牛	60.790000	6.000000	2192	2119	3.9	130	A1V	
1261	λ/Per	英仙	61.650000	50.400000	2449	2247	4.3	362	A0IVn	
1264	γ/Ret	网罟	60.220000	-62.200000	1808	1906	4.5	543	M4III	
1266	ι/Ret	网罟	60.330000	-61.100000	1814	1910	5.0	362	K4III	
1298	ο1/Eri	波江	62.970000	-6.800000	2130	2061	4.1	130	F2II-III	九洲殊口二
1302	δ/Hor	时钟	62.710000	-42.000000	1927	1959	4.9	181	A9V	
1303	μ/Per	英仙	63.720000	48.400000	2452	2212	4.2	1833	G0Ib	
1320	μ/Tau	金牛	63.880000	8.900000	2225	2098	4.3	465	B3IV	
1325	ο2/Eri	波江	63.820000	-7.700000	2128	2051	4.4	16	K1V	九州殊口增十一
1326	α/Hor	时钟	63.500000	-42.300000	1928	1955	3.9	120	K1III	
1329	omg2/Tau	金牛	64.310000	20.600000	2295	2126	4.9	95	A3m	
1336	α/Ret	网罟	63.610000	-62.500000	1811	1896	3.3	171	G8II-III	
1338	γ/Dor	剑鱼	64.010000	-51.500000	1876	1926	4.2	66	F4III	
1346	γ/Tau	金牛	64.950000	15.600000	2269	2106	3.7	155	K0-IIIabCN1	毕宿四
1347	υ4/Eri	波江	64.470000	-33.800000	1979	1974	3.6	181	B9V	
1348	φ/Tau	金牛	65.090000	27.400000	2339	2136	4.9	362	K1III	
1355	ε/Ret	网罟	64.120000	-59.300000	1831	1904	4.4	60	K2IVa	
1373	δ1/Tau	金牛	65.730000	17.500000	2284	2102	3.8	155	K0IIICN0.5	毕宿三
1380	δ2/Tau	金牛	66.020000	17.400000	2285	2099	4.8	148	A7V	
1387	κ1/Tau	金牛	66.340000	22.300000	2315	2108	4.2	155	A7IV-V	
1389	δ3/Tau	金牛	66.370000	17.900000	2290	2096	4.3	148	A2IV	
1392	υ/Tau	金牛	66.580000	22.800000	2320	2106	4.3	155	A8Vn	
1396	π/Tau	金牛	66.650000	14.700000	2272	2085	4.7	465	G7IIIaFe-1	
1409	ε/Tau	金牛	67.150000	19.200000	2301	2091	3.5	155	G9.5IIICN0.5	毕宿一
1411	θ1/Tau	金牛	67.140000	16.000000	2282	2083	3.8	163	K0IIIbFe-0.5	
1412	θ2/Tau	金牛	67.170000	15.900000	2282	2082	3.4	155	A7III	
1444	ro/Tau	金牛	68.460000	14.800000	2281	2065	4.7	155	A8V	
1453	υ1/Eri	波江	68.380000	-29.800000	2013	1960	4.5	125	K0IIICN-1	
1457	α/Tau	金牛	68.980000	16.500000	2293	2064	0.9	65	K5III	毕宿五
1463	ν/Eri	波江	69.080000	-3.400000	2174	2017	3.9	866	B2III	
1464	υ2/Eri	波江	68.890000	-30.600000	2010	1955	3.8	217	G8IIIHdelta-1	
1465	α/Dor	剑鱼	68.500000	-55.000000	1862	1900	3.3	181	A0IIISi	
1479	σ2/Tau	金牛	69.820000	15.900000	2293	2053	4.7	163	A5Vn	
1497	τ/Tau	金牛	70.560000	23.000000	2339	2060	4.3	407	B3V	
1502	α/Cae	雕具	70.140000	-41.900000	1944	1923	4.4	66	F2V	
1520	μ/Eri	波江	71.380000	-3.300000	2182	1996	4.0	543	B5IV	
1542	α/Cam	鹿豹	73.510000	66.300000	2618	2103	4.3	2944	O9.5Iae	
1543	π3/Ori	猎户	72.460000	7.000000	2249	2006	3.2	26	F6V	参旗六
1544	π2/Ori	猎户	72.650000	8.900000	2261	2008	4.3	203	A1Vn	
1552	π4/Ori	猎户	72.800000	5.600000	2241	2000	3.7	734	B2III+B2IV	
1556	ο1/Ori	猎户	73.130000	14.300000	2296	2013	4.7	543	S3.5/1-	
1560	omg/Eri	波江	73.220000	-5.500000	2174	1975	4.4	232	F4III+A6III	
1567	π5/Ori	猎户	73.560000	2.400000	2224	1986	3.7	761	B3III+B0V	
1570	π1/Ori	猎户	73.720000	10.200000	2272	1999	4.7	120	A0V	
1577	ι/Aur	御夫	74.250000	33.200000	2417	2033	2.7	543	K3II	五车一
1580	ο2/Ori	猎户	74.090000	13.500000	2294	2000	4.1	171	K2III	
1592	omg/Aur	御夫	74.810000	37.900000	2448	2033	4.9	163	A1V	
1601	π6/Ori	猎户	74.640000	1.700000	2222	1974	4.5	556	K2II	
1603	β/Cam	鹿豹	75.850000	60.400000	2592	2054	4.0	1304	G0Ib	
1605	ε/Aur	御夫	75.490000	43.800000	2487	2034	3.0	3862	F0Iae	柱一
1612	ζ/Aur	御夫	75.620000	41.100000	2471	2027	3.8	182	K4II+B8V	
1617	ψ/Eri	波江	75.360000	-7.200000	2169	1952	4.8	534	B3V	
1620	ι/Tau	金牛	75.770000	21.600000	2350	1994	4.6	163	A7V	
1641	η/Aur	御夫	76.630000	41.200000	2475	2013	3.2	232	B3V	柱二
1652	γ1/Cae	雕具	76.100000	-35.500000	1993	1902	4.6	191	K3III	
1654	ε/Lep	天兔	76.360000	-22.400000	2076	1920	3.2	232	K5IIIv	
1666	β/Eri	波江	76.960000	-5.100000	2186	1941	2.8	90	A3III	玉井三
1674	ζ/Dor	剑鱼	76.380000	-57.500000	1856	1867	4.7	38	F7V	
1679	λ/Eri	波江	77.290000	-8.800000	2163	1933	4.3	862	B2IVne	
1689	μ/Aur	御夫	78.360000	38.500000	2464	1985	4.9	163	A4m	
1696	ι/Lep	天兔	78.070000	-11.900000	2145	1922	4.4	250	B8V	
1698	ro/Ori	猎户	78.320000	2.900000	2239	1939	4.4	362	K3III	
1702	μ/Lep	天兔	78.230000	-16.200000	2118	1915	3.3	191	B9pHgMn	
1705	κ/Lep	天兔	78.310000	-12.900000	2139	1918	4.4	192	B9V	
1708	α/Aur	御夫	79.170000	46.000000	2513	1982	0.1	42	G5IIIe+G0III	五车二
1713	β/Ori	猎户	78.630000	-8.200000	2169	1921	0.1	949	B8Iae:	参宿七
1729	λ/Aur	御夫	79.780000	40.100000	2478	1966	4.7	41	G2IV-V	
1735	τ/Ori	猎户	79.400000	-6.800000	2180	1916	3.6	331	B5III	
1743	ο/Col	天鸽	79.370000	-34.900000	2001	1883	4.8	112	K0IV	
1744	θ/Dor	剑鱼	78.440000	-67.200000	1796	1847	4.8	274	K2.5IIIa	
1756	λ/Lep	天兔	79.890000	-13.200000	2140	1904	4.3	1504	B0.5IV	
1773	σ/Aur	御夫	81.160000	37.400000	2464	1944	5.0	543	K4III	
1788	η/Ori	猎户	81.120000	-2.400000	2210	1905	3.3	152	B1V+B2e	参宿增三
1789	ψ1/Ori	猎户	81.190000	1.800000	2237	1908	5.0	1470	B1Vpe	
1790	γ/Ori	猎户	81.280000	6.300000	2266	1912	1.6	250	B2III	参宿五
1791	β/Tau	金牛	81.570000	28.600000	2409	1930	1.6	135	B7III	五车五
1811	ψ2/Ori	猎户	81.710000	3.100000	2246	1904	4.6	1026	B2IV	
1829	β/Lep	天兔	82.060000	-20.800000	2094	1879	2.8	163	G5II	厕二
1843	χ/Aur	御夫	83.180000	32.200000	2434	1911	4.8	2985	B5Iab	
1852	δ/Ori	猎户	83.000000	-0.300000	2226	1888	2.2	1065	B0III+O9V	参宿三
1855	υ/Ori	猎户	82.980000	-7.300000	2181	1883	4.6	1560	B0V	参宿增三十六
1862	ε/Col	天鸽	82.800000	-35.500000	2001	1862	3.9	296	K1IIIa	
1865	α/Lep	天兔	83.180000	-17.800000	2114	1873	2.6	954	F0Ib	厕一
1876	φ1/Ori	猎户	83.700000	9.500000	2290	1888	4.4	1546	B0III	觜宿一
1879	λ/Ori	猎户	83.780000	9.900000	2293	1887	3.7	175	O8e	
1899	ι/Ori	猎户	83.860000	-5.900000	2191	1875	2.8	1384	O9III	伐三
1903	ε/Ori	猎户	84.050000	-1.200000	2222	1877	1.7	1257	B0Iae	参宿二
1907	φ2/Ori	猎户	84.230000	9.300000	2289	1882	4.1	116	K0IIIbCN-2	
1910	ζ/Tau	金牛	84.410000	21.100000	2365	1887	3.0	465	B4IIIpe	
1922	β/Dor	剑鱼	83.410000	-62.500000	1829	1838	3.8	1525	F6Ia	
1931	σ/Ori	猎户	84.690000	-2.600000	2213	1870	3.8	1136	O9.5V	
1934	omg/Ori	猎户	84.800000	4.100000	2256	1872	4.6	654	B3IIIe	
1948	ζ/Ori	猎户	85.190000	-1.900000	2218	1865	2.0	1110	O9.5Ibe	参宿一
1949	ζ/Ori	猎户	85.190000	-1.900000	2218	1865	4.2	2255	B0III	
1956	α/Col	天鸽	84.910000	-34.100000	2011	1849	2.7	271	B7IVe	丈人一
1983	γ/Lep	天兔	86.120000	-22.400000	2087	1847	3.6	29	F6V	
1995	τ/Aur	御夫	87.290000	39.200000	2484	1857	4.5	217	G8III	
1998	ζ/Lep	天兔	86.740000	-14.800000	2136	1845	3.5	70	A3Vn	
2004	κ/Ori	猎户	86.940000	-9.700000	2169	1845	2.1	1560	B0.5Iav	参宿六
2011	υ/Aur	御夫	87.760000	37.300000	2472	1850	4.7	543	M0III-IIIbFe-0.5	
2012	ν/Aur	御夫	87.870000	39.100000	2484	1848	4.0	217	K0III*	
2015	δ/Dor	剑鱼	86.190000	-65.700000	1809	1828	4.3	148	A7V	
2020	β/Pic	绘架	86.820000	-51.100000	1903	1831	3.8	63	A5V	
2029	ξ/Aur	御夫	88.710000	55.700000	2591	1839	5.0	250	A2V	
2035	δ/Lep	天兔	87.830000	-20.900000	2097	1834	3.8	112	G8IIIwkCN*	
2040	β/Col	天鸽	87.740000	-35.800000	2002	1831	3.1	88	K2III	子二
2042	γ/Pic	绘架	87.460000	-56.200000	1870	1827	4.5	181	K1III	
2047	χ1/Ori	猎户	88.600000	20.300000	2363	1835	4.4	28	G0V	
2056	λ/Col	天鸽	88.280000	-33.800000	2015	1828	4.9	362	B5V	
2061	α/Ori	猎户	88.790000	7.400000	2280	1831	0.5	465	M1-2Ia-Iab	参宿四
2077	δ/Aur	御夫	89.880000	54.300000	2582	1819	3.7	141	K0III	
2085	η/Lep	天兔	89.100000	-14.200000	2141	1825	3.7	49	F1III	
2087	ξ/Col	天鸽	88.870000	-37.100000	1993	1824	5.0	362	K1III	
2088	β/Aur	御夫	89.880000	44.900000	2522	1819	1.9	83	A2IV	五车三
2091	π/Aur	御夫	89.980000	45.900000	2528	1818	4.2	727	M3II	
2095	θ/Aur	御夫	89.930000	37.200000	2472	1819	2.6	181	A0pSi	
2106	γ/Col	天鸽	89.380000	-35.300000	2005	1821	4.4	675	B2.5IV	
2120	η/Col	天鸽	89.790000	-42.800000	1957	1819	4.0	543	K0III	
2124	μ/Ori	猎户	90.600000	9.600000	2294	1811	4.1	155	A2V	
2135	χ2/Ori	猎户	90.980000	20.100000	2362	1805	4.6	3364	B2Iave	
2155	θ/Lep	天兔	91.540000	-14.900000	2136	1804	4.7	171	A1Vn	
2159	ν/Ori	猎户	91.890000	14.800000	2328	1795	4.4	543	B3V	
2199	ξ/Ori	猎户	92.980000	14.200000	2323	1783	4.5	544	B3IV	
2212	δ/Pic	绘架	92.570000	-55.000000	1878	1807	4.8	1553	B3III+O9V	
2216	η/Gem	双子	93.720000	22.500000	2376	1770	3.3	362	M3III	钺
2219	κ/Aur	御夫	93.840000	29.500000	2421	1766	4.3	171	G8.5IIIb	
2227	γ/Mon	麒麟	93.710000	-6.300000	2191	1783	4.0	195	K3III	
2256	κ/Col	天鸽	94.140000	-35.100000	2005	1792	4.4	191	K0III	
2282	ζ/CMa	大犬	95.080000	-30.100000	2037	1783	3.0	362	B2.5V	孙增一
2286	μ/Gem	双子	95.740000	22.500000	2374	1745	2.9	232	M3IIIab	井宿一
2289	ψ1/Aur	御夫	96.220000	49.300000	2545	1720	4.8	3154	K5-M0Iab-Ib	
2294	β/CMa	大犬	95.670000	-18.000000	2114	1772	2.0	543	B1II-III	军市一
2296	δ/Col	天鸽	95.530000	-33.400000	2016	1782	3.8	250	G7II	
2298	ε/Mon	麒麟	95.940000	4.600000	2259	1754	4.4	130	A5IV	
2326	α/Car	船底	95.990000	-52.700000	1892	1792	-0.7	326	F0II	老人
2343	ν/Gem	双子	97.240000	20.200000	2357	1728	4.1	543	B6IIIe	
2356	β/Mon	麒麟	97.200000	-7.000000	2183	1750	4.6	459	B3Ve	
2361	λ/CMa	大犬	97.040000	-32.600000	2020	1772	4.5	407	B4V	
2387	ξ1/CMa	大犬	97.960000	-23.400000	2078	1758	4.3	1490	B0.5IV	
2414	ξ2/CMa	大犬	98.760000	-23.000000	2079	1752	4.5	465	A0V	
2421	γ/Gem	双子	99.430000	16.400000	2329	1705	1.9	105	A0IV	井宿三
2427	ψ2/Aur	御夫	99.830000	42.500000	2494	1672	4.8	465	K3III	
